Left	Grapheme	Right	Class	Replacement	Frequency	Codepoint	UnicodeName
	t͡ʃ			t͡ʃ			
	-			-	6	U+002D	HYPHEN-MINUS
	 			 	166	U+0020	SPACE
	;			;	2	U+003B	SEMICOLON
	ː			ː	8	U+02D0	MODIFIER LETTER TRIANGULAR COLON
	a			a	425	U+0061	LATIN SMALL LETTER A
	ã			ã	69	U+0061, U+0303	LATIN SMALL LETTER A, COMBINING TILDE
	b			b	89	U+0062	LATIN SMALL LETTER B
	c			c	5	U+0063	LATIN SMALL LETTER C
	ç			ç	1	U+00E7	LATIN SMALL LETTER C WITH CEDILLA
	ɔ			ɔ	14	U+0254	LATIN SMALL LETTER OPEN O
	ɔ̃			ɔ̃	1	U+0254, U+0303	LATIN SMALL LETTER OPEN O, COMBINING TILDE
	d			d	62	U+0064	LATIN SMALL LETTER D
	e			e	122	U+0065	LATIN SMALL LETTER E
	ẽ			ẽ	25	U+0065, U+0303	LATIN SMALL LETTER E, COMBINING TILDE
	ə			ə	110	U+0259	LATIN SMALL LETTER SCHWA
	ə̃			ə̃	7	U+0259, U+0303	LATIN SMALL LETTER SCHWA, COMBINING TILDE
	ɛ			ɛ	13	U+025B	LATIN SMALL LETTER OPEN E
	ɛ̃			ɛ̃	2	U+025B, U+0303	LATIN SMALL LETTER OPEN E, COMBINING TILDE
	g			g	1	U+0067	LATIN SMALL LETTER G
	ɡ			ɡ	2	U+0261	LATIN SMALL LETTER SCRIPT G
	h			h	155	U+0068	LATIN SMALL LETTER H
	i			i	281	U+0069	LATIN SMALL LETTER I
	ĩ			ĩ	14	U+0069, U+0303	LATIN SMALL LETTER I, COMBINING TILDE
	ɨ			ɨ	7	U+0268	LATIN SMALL LETTER I WITH STROKE
	j			j	92	U+006A	LATIN SMALL LETTER J
	j̃			j̃	1	U+006A, U+0303	LATIN SMALL LETTER J, COMBINING TILDE
	k			k	396	U+006B	LATIN SMALL LETTER K
	l			l	4	U+006C	LATIN SMALL LETTER L
	m			m	84	U+006D	LATIN SMALL LETTER M
	n			n	104	U+006E	LATIN SMALL LETTER N
	ŋ			ŋ	5	U+014B	LATIN SMALL LETTER ENG
	o			o	113	U+006F	LATIN SMALL LETTER O
	õ			õ	31	U+006F, U+0303	LATIN SMALL LETTER O, COMBINING TILDE
	p			p	181	U+0070	LATIN SMALL LETTER P
	r			r	137	U+0072	LATIN SMALL LETTER R
	s			s	6	U+0073	LATIN SMALL LETTER S
	ʃ			ʃ	1	U+0283	LATIN SMALL LETTER ESH
	t			t	57	U+0074	LATIN SMALL LETTER T
	t͡			t͡	1	U+0074, U+0361	LATIN SMALL LETTER T, COMBINING DOUBLE INVERTED BREVE
	u			u	203	U+0075	LATIN SMALL LETTER U
	u̇			u̇	3	U+0075, U+0307	LATIN SMALL LETTER U, COMBINING DOT ABOVE
	ũ			ũ	33	U+0075, U+0303	LATIN SMALL LETTER U, COMBINING TILDE
	w			w	21	U+0077	LATIN SMALL LETTER W
	ʒ			ʒ	1	U+0292	LATIN SMALL LETTER EZH
	ʔ			ʔ	250	U+0294	LATIN LETTER GLOTTAL STOP
